priority,business,area,address,phone,email,website,type_or_menu_fit,personalization_angle,source_notes
B,Minervas Restaurant and Bar,Rapid City,"2111 N La Crosse Street, Rapid City, SD 57701",605-394-9505,,https://www.minervasrestaurants.com/location/minervas-rapid-city-sd/,Restaurant/bar,Lead with bar/restaurant protein staples and meeting with kitchen manager.,OSM Rapid City search; contact lookup: Call; no public direct email found
B,Old School Sliders,Rapid City,"West Main Street, Rapid City, SD 57702",,,http://oldschoolsliders.com/,Burger / sliders,"Lead with custom burger grind, patty specs, and consistent case pricing.",OSM Rapid City search; contact lookup: Need phone/contact verification
C,Wine Cellar Restaurant,Rapid City,"513 6th Street, Rapid City, SD 57701",605-718-2675,,http://winecellarrestaurant.com/,Regional / pizza,Lead with local supplier relationship and specialty proteins; lower meat volume than steak/BBQ.,OSM Rapid City search; contact lookup: Call; no public direct email found
C,Jambonz,Rapid City,"740 Mountain View Road, Rapid City, SD 57702",605-791-0624,chivesbistro@yahoo.com, ,Cajun,Lead with sausage/chicken/pork supply and Cajun menu fit; verify contact.,OSM Rapid City search; contact lookup: Verify open/status before emailing
C,Inferno,Rapid City,"3501 SD Highway 44, Rapid City, SD 57703",605-791-1647,,http://www.infernobyfire.com/,Pizza / fire concept,Lead only if they use meat toppings in volume; verify buyer.,OSM Rapid City search; contact lookup: Call/contact app; no public direct email found
C,Antunez,Spearfish,"117 E Illinois Street, Spearfish, SD",605-722-8226,eatlocal@antunezcuisine.com,https://antunezcuisine.com/,Spanish/Mexican/Latin American,Lead with beef/chicken/pork volume for Mexican/Latin menu; secondary fit.,OSM Deadwood search; contact lookup: Ready to email
C,Nonna's Kitchen,Spearfish,"544 N Main Street, Spearfish, SD",605-307-1345,,https://nonnaskitchensd.com/,Italian,"Lead with Italian meats, sausage, chicken, and proteins; secondary fit.",OSM Deadwood search; contact lookup: Use contact page/phone; no public direct email found
C,The Dough Trader,Spearfish,"543 W Jackson Blvd, Spearfish, SD",605-642-2175,,https://www.doughtraderpizza.com/,Pizza,Lead only if meat topping volume is meaningful; secondary fit.,OSM Deadwood search; contact lookup: Use contact page/phone; no public direct email found
C,The Custer Wolf,Custer,"Custer, SD",605-673-9653,,https://www.custerwolf.com/,Contemporary cowboy/local ingredients,Lead with local ingredients/cowboy cooking angle; verify contact.,Eater/web search; contact lookup: Use contact page/phone; no public direct email found
C,Buglin’ Bull,Custer,"Custer, SD",605-673-4477,,https://www.buglinbull.com/,Sports bar / local food traditions,"Lead with burgers, steaks, bar food proteins; verify contact.",Eater/web search; contact lookup: Use contact page/phone; no public direct email found
C,Boulder Canyon Golf Club - Canyon Grille,Sturgis/Deadwood corridor,"Boulder Canyon, SD",605-347-5108,,https://www.blackhillsbadlands.com/listing/boulder-canyon-golf-club/542/,Golf club grill / smoky BBQ and steaks,"Lead with golf/event volume, steak and BBQ items; verify F&B contact.",BlackHillsBadlands search; contact lookup: Call; Canyon Grille opening May 2026; no public direct email found
C,Stampmill Inn Restaurant Saloon & Victorian Suites,Lead,"305 W Main St, Lead, SD 57754",605-559-1897,stampmillsd@gmail.com,https://www.blackhillsbadlands.com/listing/stampmill-inn-restaurant-saloon-%26-victorian-suites/282/,Restaurant/saloon/inn,Lead with saloon and lodging guest volume; verify direct website/email.,BlackHillsBadlands search; contact lookup: Ready to email
